DynoWare,Version 3.2.2.0
Path:,D:\Parn (paper ML Weld)\Post welding\
Filename:,Sample 16.dwd
Config ID:,Sample 16.cfg
Setup ID:,0
Manipulated:,0
Filename 1:, 
Filename 2:, 
Date:,Thursday, January 02, 2025
Time:,14:08:38
Sampling rate [Hz]:,100
Measuring time [s]:,180
Delay time [s]:,0
Cycle time [s]:,0
Cycles:,1
Samples per channel:,18001
Cycle interval:,0
Cycle No:,1
Time,Mz,Fz,Fy,Fx
s,N,kN,kN,kN
0,81.7705,-0.532663,0.648564,-0.0423867
0.01,81.7766,-0.530919,0.648836,-0.0423758
0.02,81.7692,-0.532532,0.648542,-0.0423649
0.03,81.7775,-0.531529,0.648782,-0.0423104
0.04,81.7697,-0.53227,0.64852,-0.0423322
0.05,81.7753,-0.532663,0.648836,-0.0422995
0.06,81.7684,-0.533229,0.648553,-0.0423322
0.07,81.7758,-0.531485,0.648836,-0.042354
0.08,81.7697,-0.532924,0.648553,-0.0423431
0.09,81.7758,-0.532532,0.648804,-0.0423322
0.1,81.7675,-0.532445,0.64852,-0.0423322
0.11,81.774,-0.531311,0.648804,-0.042354
0.12,81.7671,-0.533229,0.64852,-0.0423322
0.13,81.7745,-0.532706,0.648858,-0.0423431
0.14,81.7679,-0.533229,0.648531,-0.042354
0.15,81.7749,-0.531529,0.648815,-0.0423322
0.16,81.7675,-0.532881,0.648499,-0.0423104
0.17,81.774,-0.531311,0.648847,-0.0423431
0.18,81.7679,-0.533229,0.648509,-0.0422777
0.19,81.774,-0.531703,0.648847,-0.042354
0.2,81.7684,-0.53227,0.648509,-0.0423431
0.21,81.774,-0.531267,0.648869,-0.0424085
0.22,81.7675,-0.531878,0.648499,-0.0423322
0.23,81.7736,-0.531398,0.648869,-0.0423867
0.24,81.7671,-0.533491,0.648488,-0.0422995
0.25,81.7732,-0.532924,0.648836,-0.0423431
0.26,81.7675,-0.533099,0.648499,-0.042354
0.27,81.7727,-0.531791,0.648902,-0.0423867
0.28,81.7662,-0.533186,0.648509,-0.0423213
0.29,81.7723,-0.53227,0.648847,-0.042354
0.3,81.7666,-0.533316,0.648444,-0.0422995
0.31,81.771,-0.531442,0.648847,-0.0423213
0.32,81.7649,-0.533186,0.648488,-0.0423104
0.33,81.7701,-0.532183,0.648891,-0.0423431
0.34,81.7662,-0.533534,0.648466,-0.042354
0.35,81.771,-0.532052,0.648804,-0.0423431
0.36,81.7653,-0.53336,0.648433,-0.0423431
0.37,81.7692,-0.533099,0.648804,-0.0422995
0.38,81.7644,-0.533186,0.648466,-0.0423431
0.39,81.7697,-0.532575,0.648858,-0.0423213
0.4,81.7653,-0.534319,0.648499,-0.0423431
0.41,81.7697,-0.533665,0.648891,-0.0423213
0.42,81.7653,-0.534276,0.648455,-0.0423867
0.43,81.7692,-0.532837,0.648858,-0.042354
0.44,81.7653,-0.533229,0.648444,-0.0423976
0.45,81.7675,-0.532532,0.648858,-0.0422886
0.46,81.764,-0.533186,0.6484,-0.0423758
0.47,81.7666,-0.531921,0.648847,-0.0423104
0.48,81.7636,-0.533099,0.648455,-0.0424194
0.49,81.7671,-0.533055,0.648847,-0.042245
0.5,81.7636,-0.533142,0.648488,-0.042354
0.51,81.7666,-0.532532,0.648847,-0.0422341
0.52,81.7631,-0.532837,0.648444,-0.042354
0.53,81.7653,-0.532183,0.648891,-0.042245
0.54,81.7618,-0.533055,0.648433,-0.0424194
0.55,81.7657,-0.532488,0.648869,-0.0422777
