DynoWare,Version 3.2.2.0
Path:,D:\Parn (paper ML Weld)\Post welding\
Filename:,Sample 51.dwd
Config ID:,Sample 51.cfg
Setup ID:,0
Manipulated:,0
Filename 1:, 
Filename 2:, 
Date:,Friday, January 03, 2025
Time:,17:32:00
Sampling rate [Hz]:,100
Measuring time [s]:,180
Delay time [s]:,0
Cycle time [s]:,0
Cycles:,1
Samples per channel:,18001
Cycle interval:,0
Cycle No:,1
Time,Mz,Fz,Fy,Fx
s,N,kN,kN,kN
0,0.308228,-0.454843,0.00996181,0.00892639
0.01,0.0488281,-0.470276,0.00336783,0.00413077
0.02,0.308228,-0.454799,0.00996181,0.00893729
0.03,0.050136,-0.469317,0.00332424,0.00413077
0.04,0.309971,-0.454102,0.0100381,0.00891549
0.05,0.050136,-0.471235,0.00328064,0.00410897
0.06,0.309535,-0.454407,0.0100163,0.00893729
0.07,0.0497001,-0.469971,0.00322614,0.00407628
0.08,0.309971,-0.45384,0.00997271,0.00898089
0.09,0.0497001,-0.469012,0.00332424,0.00409807
0.1,0.309971,-0.45432,0.00998361,0.00894819
0.11,0.0483922,-0.470494,0.00331334,0.00405448
0.12,0.309535,-0.455191,0.00995091,0.00899179
0.13,0.0492641,-0.471671,0.00329154,0.00413077
0.14,0.311279,-0.454145,0.010049,0.00898089
0.15,0.0492641,-0.470407,0.00325884,0.00406538
0.16,0.309971,-0.454014,0.0100272,0.00899179
0.17,0.0470843,-0.469927,0.00324794,0.00408718
0.18,0.310407,-0.45336,0.00997271,0.00899179
0.19,0.0479562,-0.470494,0.00331334,0.00407628
0.2,0.310843,-0.453186,0.0100054,0.00899179
0.21,0.0479562,-0.469578,0.00330244,0.00404358
0.22,0.310407,-0.454058,0.00998361,0.00893729
0.23,0.0475202,-0.470712,0.00323704,0.00406538
0.24,0.310843,-0.45432,0.0100381,0.00898089
0.25,0.0475202,-0.470625,0.00326974,0.00404358
0.26,0.310407,-0.453666,0.010049,0.00898089
0.27,0.0466483,-0.470581,0.00323704,0.00409807
0.28,0.309971,-0.453142,0.0100054,0.00901358
0.29,0.0466483,-0.470537,0.00322614,0.00402178
0.3,0.310407,-0.453796,0.00997271,0.00898089
0.31,0.0466483,-0.469927,0.00324794,0.00406538
0.32,0.310407,-0.454756,0.0100054,0.00898089
0.33,0.0462123,-0.470276,0.00319345,0.00405448
0.34,0.310407,-0.454756,0.00999451,0.00896999
0.35,0.0457764,-0.471148,0.00320435,0.00404358
0.36,0.311715,-0.454625,0.0100272,0.00899179
0.37,0.0466483,-0.469622,0.00316075,0.00402178
0.38,0.310843,-0.454276,0.0100381,0.00899179
0.39,0.0457764,-0.471061,0.00321524,0.00403268
0.4,0.310843,-0.45384,0.00997271,0.00898089
0.41,0.0449044,-0.469971,0.00321524,0.00397818
0.42,0.311715,-0.453317,0.0100054,0.00896999
0.43,0.0457764,-0.470232,0.00320435,0.00403268
0.44,0.311279,-0.453448,0.00995091,0.00898089
0.45,0.0440325,-0.469884,0.00316075,0.00401088
0.46,0.310843,-0.453186,0.00998361,0.00896999
0.47,0.0457764,-0.468968,0.00320435,0.00402178
0.48,0.311279,-0.453055,0.0100163,0.00899179
0.49,0.0440325,-0.469666,0.00313895,0.00402178
0.5,0.309971,-0.453099,0.0100054,0.00904628
0.51,0.0440325,-0.469971,0.00320435,0.00402178
0.52,0.309971,-0.453142,0.0100054,0.00903538
0.53,0.0444685,-0.470276,0.00320435,0.00401088
0.54,0.311279,-0.453884,0.0100163,0.00900269
0.55,0.0444685,-0.469927,0.00317165,0.00402178
0.56,0.310407,-0.45275,0.00997271,0.00899179
0.57,0.0449044,-0.469927,0.00311715,0.00397818
0.58,0.311715,-0.453273,0.010049,0.00903538
0.59,0.0449044,-0.470189,0.00312805,0.00397818
0.6,0.312587,-0.454363,0.0100054,0.00901358
0.61,0.0435965,-0.470189,0.00317165,0.00396729
0.62,0.311715,-0.453535,0.010049,0.00902448
0.63,0.0435965,-0.469273,0.00314985,0.00397818
0.64,0.312587,-0.453186,0.0100272,0.00900269
0.65,0.0435965,-0.46936,0.00313895,0.00401088
0.66,0.311279,-0.45336,0.0101035,0.00901358
0.67,0.0431606,-0.471671,0.00311715,0.00396729
0.68,0.313023,-0.454014,0.0100708,0.00903538
0.69,0.0440325,-0.470363,0.00312805,0.00401088
0.7,0.313023,-0.45432,0.010049,0.00903538
0.71,0.0422886,-0.470145,0.00308446,0.00394549
0.72,0.311715,-0.454102,0.0100599,0.00905718
0.73,0.0427246,-0.471017,0.00310625,0.00403268
0.74,0.313459,-0.453753,0.0100708,0.00906808
0.75,0.0427246,-0.471976,0.00312805,0.00398908
0.76,0.312587,-0.454014,0.0100708,0.00904628
0.77,0.0418527,-0.469666,0.00311715,0.00399998
0.78,0.312151,-0.453404,0.0100817,0.00904628
0.79,0.0418527,-0.470407,0.00307356,0.00396729
0.8,0.313023,-0.453622,0.0101035,0.00908988
0.81,0.0418527,-0.47154,0.00308446,0.00397818
0.82,0.312587,-0.45445,0.00999451,0.00905718
0.83,0.0409807,-0.471061,0.00310625,0.00395639
0.84,0.312151,-0.453142,0.0100708,0.00905718
0.85,0.0418527,-0.470494,0.00312805,0.00397818
0.86,0.313023,-0.453317,0.0100599,0.00901358
0.87,0.0422886,-0.470407,0.00307356,0.00395639
0.88,0.312587,-0.453055,0.0100708,0.00905718
0.89,0.0401088,-0.471322,0.00306266,0.00391279
0.9,0.311715,-0.45432,0.0100926,0.00901358
0.91,0.0401088,-0.471584,0.00310625,0.00396729
0.92,0.313023,-0.454799,0.0100926,0.00902448
0.93,0.0409807,-0.471584,0.00311715,0.00391279
0.94,0.312151,-0.455366,0.0100817,0.00898089
0.95,0.0401088,-0.47263,0.00311715,0.00392369
0.96,0.312151,-0.454058,0.0101035,0.00902448
0.97,0.0396729,-0.471148,0.00308446,0.00392369
0.98,0.311279,-0.453491,0.0101144,0.00904628
0.99,0.038365,-0.470145,0.00311715,0.00392369
1,0.312587,-0.453535,0.0101362,0.00905718
1.01,0.0409807,-0.471061,0.00305176,0.00395639
1.02,0.313459,-0.453448,0.0100926,0.00905718
1.03,0.0405448,-0.471061,0.00307356,0.00394549
1.04,0.312587,-0.454407,0.0100599,0.00902448
