DynoWare,Version 3.2.2.0
Path:,D:\Parn (paper ML Weld)\Post welding\
Filename:,Sample 14.dwd
Config ID:,Sample 14.cfg
Setup ID:,0
Manipulated:,0
Filename 1:, 
Filename 2:, 
Date:,Thursday, January 02, 2025
Time:,13:51:37
Sampling rate [Hz]:,100
Measuring time [s]:,180
Delay time [s]:,0
Cycle time [s]:,0
Cycles:,1
Samples per channel:,18001
Cycle interval:,0
Cycle No:,1
Time,Mz,Fz,Fy,Fx
s,N,kN,kN,kN
0,108.83,-0.279672,0.846579,-0.0891985
0.01,108.826,-0.281634,0.846285,-0.0892748
0.02,108.83,-0.279977,0.846558,-0.0891985
0.03,108.826,-0.280849,0.846263,-0.0892857
0.04,108.831,-0.279192,0.846601,-0.0891985
0.05,108.825,-0.2805,0.846252,-0.0892966
0.06,108.83,-0.27941,0.846569,-0.0891985
0.07,108.824,-0.281328,0.84622,-0.0892966
0.08,108.828,-0.280326,0.846525,-0.0891549
0.09,108.822,-0.280326,0.846296,-0.0892966
0.1,108.827,-0.280544,0.846514,-0.0892094
0.11,108.822,-0.279541,0.846242,-0.0892748
0.12,108.827,-0.279977,0.846536,-0.0891767
0.13,108.821,-0.280108,0.846231,-0.0892966
0.14,108.827,-0.279933,0.846569,-0.0892312
0.15,108.821,-0.280587,0.846231,-0.0892857
0.16,108.827,-0.280675,0.846601,-0.0891658
0.17,108.821,-0.280151,0.846252,-0.0892966
0.18,108.827,-0.27989,0.846558,-0.0891876
0.19,108.821,-0.280413,0.84622,-0.089253
0.2,108.827,-0.280805,0.846569,-0.0891658
0.21,108.821,-0.281372,0.846242,-0.0892857
0.22,108.827,-0.280805,0.846525,-0.0891658
0.23,108.821,-0.281154,0.846198,-0.0892748
0.24,108.825,-0.280239,0.846547,-0.089144
0.25,108.82,-0.280718,0.846231,-0.0892966
0.26,108.825,-0.279672,0.846569,-0.0891767
0.27,108.82,-0.281023,0.846165,-0.0893075
0.28,108.824,-0.280893,0.846547,-0.0891549
0.29,108.819,-0.280457,0.846187,-0.0893075
0.3,108.824,-0.280457,0.846492,-0.0891767
0.31,108.82,-0.281328,0.846209,-0.0892966
0.32,108.824,-0.280239,0.846525,-0.0891876
0.33,108.82,-0.281154,0.846198,-0.0893075
0.34,108.825,-0.280675,0.846503,-0.0892203
0.35,108.819,-0.280282,0.846209,-0.0892748
0.36,108.824,-0.279672,0.846514,-0.0892203
0.37,108.82,-0.281503,0.846176,-0.0893075
0.38,108.824,-0.280326,0.846536,-0.0891985
0.39,108.82,-0.28159,0.846176,-0.0892966
0.4,108.824,-0.280239,0.846514,-0.0891658
0.41,108.819,-0.280718,0.84622,-0.0892966
0.42,108.823,-0.280413,0.846492,-0.0891658
0.43,108.817,-0.281328,0.846209,-0.0892639
0.44,108.822,-0.279933,0.846514,-0.0891658
0.45,108.817,-0.28098,0.846187,-0.0892748
0.46,108.821,-0.280108,0.846514,-0.0892094
0.47,108.816,-0.279977,0.846187,-0.0893075
0.48,108.821,-0.280413,0.846514,-0.0892094
0.49,108.817,-0.281503,0.846154,-0.0893511
0.5,108.821,-0.280413,0.846492,-0.0892094
0.51,108.816,-0.279192,0.846198,-0.0893402
0.52,108.821,-0.279497,0.846481,-0.0892094
0.53,108.816,-0.280718,0.846187,-0.0893075
0.54,108.82,-0.280064,0.84647,-0.0892094
0.55,108.815,-0.280064,0.846143,-0.0892857
0.56,108.82,-0.278843,0.846449,-0.0891876
0.57,108.816,-0.280151,0.846154,-0.0892966
0.58,108.82,-0.280544,0.846481,-0.0891985
0.59,108.815,-0.28098,0.846111,-0.0892966
0.6,108.819,-0.27989,0.84647,-0.0891767
0.61,108.814,-0.281241,0.846176,-0.0892966
0.62,108.817,-0.280108,0.84646,-0.0891985
0.63,108.813,-0.28159,0.846198,-0.0892857
0.64,108.819,-0.280544,0.84646,-0.0892094
0.65,108.813,-0.280587,0.846133,-0.0892748
0.66,108.818,-0.279846,0.846449,-0.0892094
0.67,108.814,-0.281285,0.846143,-0.0892748
0.68,108.819,-0.279367,0.846503,-0.0891985
0.69,108.813,-0.279933,0.846133,-0.0892857
0.7,108.819,-0.279497,0.846492,-0.0892203
0.71,108.813,-0.279585,0.846133,-0.0892966
0.72,108.818,-0.27989,0.84646,-0.0891876
0.73,108.812,-0.280587,0.846176,-0.0893184
0.74,108.817,-0.279541,0.846416,-0.0891876
0.75,108.812,-0.280762,0.846133,-0.0892748
0.76,108.817,-0.279846,0.846427,-0.0891767
0.77,108.812,-0.280413,0.846143,-0.0892966
0.78,108.817,-0.278713,0.846481,-0.0891767
0.79,108.812,-0.280936,0.846122,-0.0892857
0.8,108.816,-0.279933,0.846481,-0.089144
0.81,108.81,-0.281503,0.846089,-0.0892857
0.82,108.814,-0.280675,0.846427,-0.0891658
0.83,108.81,-0.281241,0.846154,-0.0892857
0.84,108.815,-0.27989,0.846449,-0.0891658
0.85,108.81,-0.280805,0.846143,-0.0892748
0.86,108.815,-0.280675,0.84647,-0.0891549
0.87,108.81,-0.282375,0.846111,-0.0892421
0.88,108.814,-0.279803,0.846427,-0.089144
0.89,108.81,-0.281198,0.8461,-0.0892639
0.9,108.814,-0.280239,0.846405,-0.0891767
0.91,108.809,-0.281634,0.846067,-0.0892857
0.92,108.813,-0.280587,0.846394,-0.089144
0.93,108.808,-0.280849,0.846133,-0.0892966
0.94,108.812,-0.280369,0.846394,-0.0892203
0.95,108.808,-0.28098,0.8461,-0.0892639
0.96,108.813,-0.280587,0.846405,-0.089144
0.97,108.807,-0.281328,0.846078,-0.0892639
0.98,108.811,-0.279541,0.846438,-0.0891876
0.99,108.807,-0.281154,0.846078,-0.0892748
1,108.812,-0.282157,0.846427,-0.0891549
1.01,108.807,-0.280805,0.846056,-0.0892857
1.02,108.811,-0.27941,0.846438,-0.0891767
