DynoWare,Version 3.2.2.0
Path:,D:\Parn (paper ML Weld)\Post welding\
Filename:,Sample 48.dwd
Config ID:,Sample 48.cfg
Setup ID:,0
Manipulated:,0
Filename 1:, 
Filename 2:, 
Date:,Friday, January 03, 2025
Time:,16:44:51
Sampling rate [Hz]:,100
Measuring time [s]:,180
Delay time [s]:,0
Cycle time [s]:,0
Cycles:,1
Samples per channel:,18001
Cycle interval:,0
Cycle No:,1
Time,Mz,Fz,Fy,Fx
s,N,kN,kN,kN
0,-0.122506,-0.593262,-0.00428336,-0.00422886
0.01,0.145612,-0.576695,0.0025395,0.000795637
0.02,-0.125994,-0.593698,-0.00435965,-0.00432696
0.03,0.146048,-0.575867,0.0025504,0.000741141
0.04,-0.123814,-0.591561,-0.00430516,-0.00427246
0.05,0.144741,-0.576085,0.0025504,0.000828334
0.06,-0.125994,-0.592651,-0.00434875,-0.00429426
0.07,0.145612,-0.576303,0.0025177,0.000773839
0.08,-0.125122,-0.592957,-0.00430516,-0.00427246
0.09,0.14692,-0.575954,0.0025613,0.000839233
0.1,-0.125122,-0.593611,-0.00433786,-0.00425066
0.11,0.146484,-0.575649,0.0025613,0.000806536
0.12,-0.12643,-0.593262,-0.00434875,-0.00425066
0.13,0.148228,-0.577218,0.00265939,0.000839233
0.14,-0.12643,-0.593741,-0.00438145,-0.00431606
0.15,0.144741,-0.577218,0.0025504,0.000784738
0.16,-0.127302,-0.592826,-0.00437055,-0.00429426
0.17,0.148228,-0.575649,0.00261579,0.000828334
0.18,-0.12425,-0.592869,-0.00429426,-0.00427246
0.19,0.1491,-0.576346,0.0025613,0.000861032
0.2,-0.127738,-0.593175,-0.00438145,-0.00431606
0.21,0.146048,-0.576085,0.0025504,0.000795637
0.22,-0.126866,-0.591823,-0.00439235,-0.00429426
0.23,0.149536,-0.575692,0.00265939,0.00088283
0.24,-0.125558,-0.593567,-0.00434875,-0.00429426
0.25,0.1491,-0.575344,0.00263759,0.000839233
0.26,-0.126866,-0.592913,-0.00441415,-0.00432696
0.27,0.1491,-0.575867,0.00260489,0.000871931
0.28,-0.12643,-0.594003,-0.00435965,-0.00431606
0.29,0.148228,-0.576564,0.00260489,0.000850133
0.3,-0.128174,-0.592782,-0.00434875,-0.00430516
0.31,0.148664,-0.576041,0.00263759,0.000893729
0.32,-0.127302,-0.592826,-0.00434875,-0.00431606
0.33,0.148664,-0.576913,0.00267029,0.000871931
0.34,-0.127302,-0.593087,-0.00433786,-0.00428336
0.35,0.148664,-0.576128,0.00264849,0.00088283
0.36,-0.12861,-0.594003,-0.00442505,-0.00432696
0.37,0.1491,-0.574995,0.00265939,0.000871931
0.38,-0.127738,-0.591605,-0.00435965,-0.00430516
0.39,0.148228,-0.575823,0.00261579,0.000839233
0.4,-0.129046,-0.59239,-0.00441415,-0.00433786
0.41,0.148228,-0.575256,0.00263759,0.00088283
0.42,-0.128174,-0.592521,-0.00442505,-0.00428336
0.43,0.150844,-0.575692,0.00264849,0.000904628
0.44,-0.126866,-0.592695,-0.00444685,-0.00433786
0.45,0.150844,-0.576651,0.00264849,0.000893729
0.46,-0.12861,-0.593436,-0.00447954,-0.00431606
0.47,0.150844,-0.575605,0.00269209,0.00088283
0.48,-0.126866,-0.593262,-0.00443595,-0.00435965
0.49,0.150408,-0.575954,0.00263759,0.000904628
0.5,-0.129046,-0.592739,-0.00443595,-0.00435965
0.51,0.149972,-0.576521,0.00259399,0.000893729
0.52,-0.127302,-0.593131,-0.00442505,-0.00430516
0.53,0.15128,-0.576128,0.00269209,0.000926426
0.54,-0.128174,-0.593872,-0.00445775,-0.00431606
0.55,0.148664,-0.576651,0.0025722,0.000861032
0.56,-0.131226,-0.593567,-0.00454494,-0.00441415
0.57,0.149536,-0.576041,0.00260489,0.000904628
0.58,-0.127738,-0.592826,-0.00445775,-0.00432696
0.59,0.151716,-0.575213,0.00264849,0.000948225
0.6,-0.12861,-0.593305,-0.00443595,-0.00435965
0.61,0.150844,-0.576695,0.00263759,0.000915527
0.62,-0.130354,-0.592215,-0.00446865,-0.00438145
0.63,0.149972,-0.575256,0.00261579,0.000871931
0.64,-0.13079,-0.592564,-0.00447954,-0.00437055
0.65,0.150844,-0.576216,0.00265939,0.000926426
0.66,-0.12861,-0.593262,-0.00446865,-0.00439235
0.67,0.153024,-0.574951,0.00268119,0.00088283
0.68,-0.129046,-0.593175,-0.00443595,-0.00434875
0.69,0.150408,-0.575344,0.00265939,0.000915527
0.7,-0.130354,-0.593305,-0.00451224,-0.00440325
0.71,0.150844,-0.575867,0.00263759,0.000850133
0.72,-0.13079,-0.592913,-0.00445775,-0.00438145
0.73,0.15346,-0.575431,0.00273568,0.000904628
0.74,-0.129482,-0.592869,-0.00445775,-0.00438145
0.75,0.152588,-0.576957,0.00271388,0.00088283
0.76,-0.131662,-0.593436,-0.00454494,-0.00441415
0.77,0.150408,-0.575779,0.00269209,0.000850133
0.78,-0.130354,-0.593523,-0.00449044,-0.00441415
0.79,0.15346,-0.576128,0.00272478,0.000915527
0.8,-0.129046,-0.593175,-0.00449044,-0.00439235
0.81,0.154332,-0.576085,0.00275748,0.000904628
0.82,-0.13079,-0.59191,-0.00444685,-0.00444685
0.83,0.15128,-0.575082,0.00265939,0.00088283
0.84,-0.132098,-0.593654,-0.00446865,-0.00439235
0.85,0.151716,-0.575692,0.00270299,0.00088283
0.86,-0.130354,-0.592782,-0.00449044,-0.00441415
0.87,0.15346,-0.57482,0.00279018,0.000948225
0.88,-0.13079,-0.592041,-0.00447954,-0.00440325
0.89,0.151716,-0.575605,0.00268119,0.000926426
0.9,-0.131662,-0.592303,-0.00450134,-0.00440325
0.91,0.153024,-0.574646,0.00273568,0.000937326
0.92,-0.13079,-0.593044,-0.00446865,-0.00441415
0.93,0.152588,-0.575038,0.00268119,0.000915527
0.94,-0.132533,-0.593523,-0.00453404,-0.00441415
0.95,0.15128,-0.576782,0.00268119,0.000915527
0.96,-0.133405,-0.593393,-0.00453404,-0.00441415
0.97,0.154768,-0.575998,0.00280108,0.000948225
0.98,-0.129046,-0.594264,-0.00449044,-0.00437055
0.99,0.154768,-0.576869,0.00276838,0.000926426
1,-0.132533,-0.593785,-0.00457764,-0.00443595
1.01,0.15128,-0.576041,0.00264849,0.000893729
1.02,-0.133841,-0.593087,-0.00456674,-0.00445775
1.03,0.153896,-0.576085,0.00272478,0.000937326
1.04,-0.129046,-0.593611,-0.00446865,-0.00437055
1.05,0.15346,-0.575649,0.00268119,0.000926426
1.06,-0.132098,-0.591779,-0.00452314,-0.00442505
1.07,0.149536,-0.575082,0.00268119,0.000828334
1.08,-0.133841,-0.593131,-0.00454494,-0.00446865
1.09,0.15346,-0.576346,0.00274658,0.000937326
1.1,-0.13079,-0.593044,-0.00447954,-0.00434875
1.11,0.15346,-0.576128,0.00275748,0.000937326
1.12,-0.133405,-0.593698,-0.00454494,-0.00446865
