DynoWare,Version 3.2.2.0
Path:,D:\Parn (paper ML Weld)\Post welding\
Filename:,Sample 6.dwd
Config ID:,Sample 6.cfg
Setup ID:,0
Manipulated:,0
Filename 1:, 
Filename 2:, 
Date:,Wednesday, January 01, 2025
Time:,17:55:32
Sampling rate [Hz]:,100
Measuring time [s]:,180
Delay time [s]:,0
Cycle time [s]:,0
Cycles:,1
Samples per channel:,18001
Cycle interval:,0
Cycle No:,1
Time,Mz,Fz,Fy,Fx
s,N,kN,kN,kN
0,-0.290789,-0.206299,0.00232152,-0.00602722
0.01,-0.483486,-0.218506,-0.0025613,-0.00965663
0.02,-0.286429,-0.206473,0.00227792,-0.00597273
0.03,-0.48305,-0.217721,-0.0025395,-0.00965663
0.04,-0.293841,-0.20643,0.00225612,-0.00608172
0.05,-0.483922,-0.218985,-0.0025395,-0.00963484
0.06,-0.292097,-0.207258,0.00222342,-0.00603812
0.07,-0.482614,-0.219639,-0.0025504,-0.00963484
0.08,-0.296021,-0.207302,0.00221252,-0.00612531
0.09,-0.482614,-0.218419,-0.0025722,-0.00963484
0.1,-0.291225,-0.207432,0.00224522,-0.00604902
0.11,-0.479998,-0.218506,-0.0025613,-0.00959124
0.12,-0.296456,-0.207171,0.00220163,-0.00612531
0.13,-0.482614,-0.218724,-0.00260489,-0.00965663
0.14,-0.292097,-0.208304,0.00219073,-0.00605992
0.15,-0.476946,-0.219116,-0.0025177,-0.00956944
0.16,-0.290353,-0.208261,0.00222342,-0.00607082
0.17,-0.48087,-0.219334,-0.002485,-0.00960214
0.18,-0.291661,-0.208261,0.00220163,-0.00604902
0.19,-0.47869,-0.219901,-0.0025286,-0.00960214
0.2,-0.293841,-0.207781,0.00221252,-0.00612531
0.21,-0.486101,-0.219073,-0.0025504,-0.00971113
0.22,-0.295149,-0.208304,0.00217983,-0.00612531
0.23,-0.48087,-0.219247,-0.0025722,-0.00958034
0.24,-0.289481,-0.208697,0.00220163,-0.00598363
0.25,-0.480434,-0.219334,-0.0024632,-0.00965663
0.26,-0.294277,-0.208871,0.00212533,-0.00610352
0.27,-0.481306,-0.219945,-0.0025068,-0.00964573
0.28,-0.292969,-0.209176,0.00211443,-0.00610352
0.29,-0.481306,-0.220337,-0.002485,-0.00961304
0.3,-0.294713,-0.208348,0.00212533,-0.00612531
0.31,-0.478254,-0.218637,-0.00245231,-0.00955854
0.32,-0.291661,-0.20874,0.00217983,-0.00603812
