DynoWare,Version 3.2.2.0
Path:,D:\Parn (paper ML Weld)\Post welding\
Filename:,Sample 21.dwd
Config ID:,Sample 21.cfg
Setup ID:,0
Manipulated:,0
Filename 1:, 
Filename 2:, 
Date:,Thursday, January 02, 2025
Time:,14:57:44
Sampling rate [Hz]:,100
Measuring time [s]:,180
Delay time [s]:,0
Cycle time [s]:,0
Cycles:,1
Samples per channel:,18001
Cycle interval:,0
Cycle No:,1
Time,Mz,Fz,Fy,Fx
s,N,kN,kN,kN
0,82.3168,-0.753435,0.639605,-0.0546483
0.01,82.3216,-0.753435,0.639986,-0.0546374
0.02,82.3159,-0.753871,0.639605,-0.054681
0.03,82.3207,-0.753348,0.640052,-0.0546483
0.04,82.3177,-0.753653,0.639561,-0.0546919
0.05,82.322,-0.752607,0.64003,-0.0545502
0.06,82.3172,-0.752171,0.639605,-0.0546919
0.07,82.3199,-0.753087,0.639997,-0.0545611
0.08,82.3151,-0.753217,0.639605,-0.0547246
0.09,82.319,-0.752651,0.640019,-0.0545829
0.1,82.3164,-0.753087,0.639616,-0.054681
0.11,82.3207,-0.752651,0.639975,-0.054572
0.12,82.3164,-0.752999,0.639539,-0.0546919
0.13,82.3199,-0.751081,0.640008,-0.054572
0.14,82.3164,-0.752869,0.639594,-0.0547028
0.15,82.3199,-0.751779,0.640041,-0.0545938
0.16,82.3155,-0.753784,0.639605,-0.0547137
0.17,82.3194,-0.752433,0.639986,-0.0545502
0.18,82.3155,-0.753828,0.639572,-0.0547246
0.19,82.3181,-0.752389,0.639965,-0.054572
0.2,82.3155,-0.753435,0.639583,-0.0546919
0.21,82.3194,-0.753087,0.639975,-0.0545611
0.22,82.3151,-0.754351,0.639594,-0.0546919
0.23,82.3181,-0.753261,0.639997,-0.0545829
0.24,82.3151,-0.75361,0.639605,-0.0547246
0.25,82.3203,-0.752738,0.640008,-0.0545175
0.26,82.3164,-0.753653,0.639572,-0.054681
0.27,82.319,-0.752869,0.640019,-0.0544957
0.28,82.3164,-0.7547,0.639638,-0.0547355
0.29,82.3203,-0.753174,0.64003,-0.0545611
0.3,82.3151,-0.753741,0.639616,-0.0547791
0.31,82.319,-0.752781,0.639975,-0.0545502
0.32,82.3172,-0.754002,0.639627,-0.0547137
