DynoWare,Version 3.2.2.0
Path:,D:\Parn (paper ML Weld)\Post welding\
Filename:,Sample 52.dwd
Config ID:,Sample 52.cfg
Setup ID:,0
Manipulated:,0
Filename 1:, 
Filename 2:, 
Date:,Friday, January 03, 2025
Time:,17:43:08
Sampling rate [Hz]:,100
Measuring time [s]:,180
Delay time [s]:,0
Cycle time [s]:,0
Cycles:,1
Samples per channel:,18001
Cycle interval:,0
Cycle No:,1
Time,Mz,Fz,Fy,Fx
s,N,kN,kN,kN
0,-9.91255,-0.419922,-0.0922394,0.00810896
0.01,-10.0342,-0.426941,-0.0952693,0.00579834
0.02,-9.91255,-0.421666,-0.092283,0.00807626
0.03,-10.0351,-0.427377,-0.095302,0.00575474
0.04,-9.91385,-0.420794,-0.0923048,0.00805446
0.05,-10.0329,-0.428685,-0.0952148,0.00583104
0.06,-9.91167,-0.420925,-0.0922394,0.00809806
0.07,-10.032,-0.427682,-0.0952148,0.00582014
0.08,-9.91211,-0.420053,-0.0922394,0.00809806
0.09,-10.0337,-0.428772,-0.0952475,0.00578744
0.1,-9.91516,-0.421579,-0.0923266,0.00808716
0.11,-10.0346,-0.429513,-0.0952802,0.00580924
0.12,-9.91385,-0.420532,-0.0923266,0.00814165
0.13,-10.0324,-0.428074,-0.0952475,0.00585284
0.14,-9.91342,-0.420053,-0.0923048,0.00807626
0.15,-10.0329,-0.427508,-0.0951822,0.00587463
0.16,-9.91516,-0.419791,-0.0923266,0.00809806
0.17,-10.0342,-0.426374,-0.0952475,0.00582014
0.18,-9.91734,-0.420053,-0.0923702,0.00802176
0.19,-10.0346,-0.427551,-0.0952475,0.00585284
0.2,-9.9156,-0.420619,-0.092283,0.00808716
0.21,-10.032,-0.427377,-0.0952475,0.00589643
0.22,-9.91473,-0.420314,-0.0922939,0.00808716
0.23,-10.032,-0.427464,-0.0951168,0.00592913
0.24,-9.9169,-0.421012,-0.0922939,0.00809806
0.25,-10.032,-0.427595,-0.0951385,0.00588553
0.26,-9.91778,-0.420925,-0.0923811,0.00807626
0.27,-10.0329,-0.428598,-0.0951604,0.00592913
0.28,-9.91516,-0.420968,-0.0923266,0.00805446
0.29,-10.0289,-0.428118,-0.0951604,0.00590733
0.3,-9.91516,-0.420707,-0.0923157,0.00808716
0.31,-10.0298,-0.427595,-0.0951276,0.00589643
0.32,-9.9169,-0.42075,-0.0923811,0.00804356
0.33,-10.0303,-0.426767,-0.0951931,0.00587463
0.34,-9.91821,-0.421186,-0.0923593,0.00804356
0.35,-10.0316,-0.426897,-0.0951495,0.00588553
0.36,-9.91734,-0.421055,-0.0924138,0.00802176
0.37,-10.0307,-0.42742,-0.0951168,0.00589643
0.38,-9.91778,-0.420401,-0.0924356,0.00807626
0.39,-10.0298,-0.428554,-0.0951168,0.00591823
0.4,-9.91647,-0.421884,-0.0923811,0.00802176
0.41,-10.0289,-0.428685,-0.0951059,0.00595093
0.42,-9.91647,-0.421099,-0.0923484,0.00805446
0.43,-10.0285,-0.42838,-0.0951385,0.00592913
0.44,-9.91734,-0.422015,-0.0924356,0.00799996
0.45,-10.0307,-0.427551,-0.0951385,0.00589643
0.46,-9.91952,-0.42184,-0.0924356,0.00798907
0.47,-10.0316,-0.428859,-0.0951059,0.00589643
0.48,-9.91908,-0.421927,-0.0924465,0.00797817
0.49,-10.0298,-0.427159,-0.0950841,0.00591823
0.5,-9.91908,-0.420053,-0.0924247,0.00797817
0.51,-10.0294,-0.427028,-0.0951276,0.00592913
0.52,-9.91908,-0.421971,-0.0924138,0.00796727
0.53,-10.0294,-0.428554,-0.0951276,0.00595093
0.54,-9.91952,-0.422799,-0.0924465,0.00798907
0.55,-10.0281,-0.42851,-0.0951059,0.00590733
0.56,-9.92039,-0.422189,-0.0924247,0.00797817
0.57,-10.0289,-0.428205,-0.0950841,0.00591823
