DynoWare,Version 3.2.2.0
Path:,D:\Parn (paper ML Weld)\Post welding\
Filename:,Sample 18.dwd
Config ID:,Sample 18.cfg
Setup ID:,0
Manipulated:,0
Filename 1:, 
Filename 2:, 
Date:,Thursday, January 02, 2025
Time:,14:26:04
Sampling rate [Hz]:,100
Measuring time [s]:,180
Delay time [s]:,0
Cycle time [s]:,0
Cycles:,1
Samples per channel:,18001
Cycle interval:,0
Cycle No:,1
Time,Mz,Fz,Fy,Fx
s,N,kN,kN,kN
0,89.5059,-0.567147,0.684869,-0.0759779
0.01,89.5059,-0.56815,0.684749,-0.075967
0.02,89.5063,-0.568499,0.684814,-0.0759561
0.03,89.5046,-0.569632,0.684804,-0.0759779
0.04,89.5063,-0.570199,0.684836,-0.0759888
0.05,89.5054,-0.569676,0.684814,-0.0760215
0.06,89.5059,-0.56863,0.684847,-0.0759779
0.07,89.5046,-0.568063,0.684804,-0.0759997
0.08,89.5063,-0.569284,0.684869,-0.0759779
0.09,89.505,-0.567583,0.684782,-0.0760215
0.1,89.5063,-0.568019,0.68488,-0.0759452
0.11,89.5054,-0.568063,0.684771,-0.0759888
0.12,89.5063,-0.567365,0.684869,-0.0759561
0.13,89.5046,-0.567496,0.684782,-0.0759561
0.14,89.5046,-0.568848,0.684869,-0.0759343
0.15,89.5037,-0.568935,0.684814,-0.0759561
0.16,89.5054,-0.567627,0.684869,-0.0759561
0.17,89.5041,-0.567889,0.684793,-0.0759779
0.18,89.5059,-0.56863,0.684869,-0.075967
0.19,89.5041,-0.568237,0.684793,-0.0759997
0.2,89.5046,-0.56863,0.684902,-0.075967
0.21,89.5037,-0.567801,0.684793,-0.0759888
0.22,89.5054,-0.567714,0.684923,-0.0759561
0.23,89.5033,-0.567453,0.684804,-0.0759561
0.24,89.5054,-0.567322,0.68488,-0.0759234
0.25,89.5033,-0.568063,0.684793,-0.0759452
0.26,89.505,-0.568281,0.684858,-0.0759125
0.27,89.5037,-0.568019,0.684771,-0.075967
0.28,89.5054,-0.568107,0.684858,-0.0759343
0.29,89.5028,-0.568673,0.68476,-0.075967
0.3,89.5046,-0.568542,0.684869,-0.0759452
0.31,89.5037,-0.569414,0.684814,-0.0759779
0.32,89.5046,-0.569327,0.684934,-0.0759452
0.33,89.5037,-0.568804,0.684738,-0.0759561
0.34,89.505,-0.568368,0.684923,-0.0759125
0.35,89.5033,-0.568978,0.684793,-0.0759452
0.36,89.5041,-0.56876,0.684869,-0.0759343
0.37,89.5037,-0.568281,0.684782,-0.0759234
0.38,89.5059,-0.570199,0.684847,-0.0759343
0.39,89.5033,-0.569022,0.684749,-0.0759125
0.4,89.5054,-0.568586,0.68488,-0.0759234
0.41,89.5028,-0.569066,0.684771,-0.0759452
0.42,89.505,-0.568978,0.684891,-0.0759125
0.43,89.5037,-0.569502,0.68476,-0.0759343
0.44,89.5054,-0.568019,0.684902,-0.0758471
0.45,89.5033,-0.568237,0.684771,-0.0759343
0.46,89.505,-0.568412,0.684902,-0.0758907
0.47,89.5028,-0.568455,0.684825,-0.0759452
0.48,89.505,-0.568325,0.684847,-0.0759125
0.49,89.5033,-0.568586,0.684804,-0.0759234
0.5,89.5037,-0.56876,0.68488,-0.0759234
0.51,89.5015,-0.56876,0.684749,-0.0759561
0.52,89.5033,-0.567976,0.684956,-0.0759234
0.53,89.5006,-0.568281,0.684771,-0.0759888
0.54,89.5028,-0.568237,0.684923,-0.0759125
0.55,89.5011,-0.568063,0.684771,-0.0759452
