DynoWare,Version 3.2.2.0
Path:,D:\Parn (paper ML Weld)\Post welding\
Filename:,Sample 37.dwd
Config ID:,Sample 37.cfg
Setup ID:,0
Manipulated:,0
Filename 1:, 
Filename 2:, 
Date:,Friday, January 03, 2025
Time:,11:49:56
Sampling rate [Hz]:,100
Measuring time [s]:,180
Delay time [s]:,0
Cycle time [s]:,0
Cycles:,1
Samples per channel:,18001
Cycle interval:,0
Cycle No:,1
Time,Mz,Fz,Fy,Fx
s,N,kN,kN,kN
0,-0.0902448,-0.4902,-0.00103542,-0.00243051
0.01,0.194441,-0.473328,0.0062452,0.00292097
0.02,-0.0941685,-0.491377,-0.00112261,-0.002485
0.03,0.194005,-0.473415,0.00623431,0.00293187
0.04,-0.0915527,-0.491202,-0.00101362,-0.00245231
0.05,0.193133,-0.472369,0.00621251,0.00291007
0.06,-0.0924247,-0.490592,-0.00105722,-0.00243051
0.07,0.192697,-0.473197,0.00616891,0.00289917
0.08,-0.0928606,-0.490679,-0.00105722,-0.00240871
0.09,0.194005,-0.472151,0.0062997,0.00297546
0.1,-0.0919887,-0.490723,-0.00105722,-0.00241961
0.11,0.191825,-0.47263,0.00619071,0.00291007
0.12,-0.0937326,-0.49081,-0.00111171,-0.0024632
0.13,0.195748,-0.473022,0.00622341,0.00295367
0.14,-0.0919887,-0.490156,-0.00105722,-0.00240871
0.15,0.192697,-0.471715,0.00621251,0.00291007
0.16,-0.0941685,-0.490025,-0.00113351,-0.0024741
0.17,0.191825,-0.471802,0.00614711,0.00291007
0.18,-0.0932966,-0.490374,-0.00107901,-0.0024741
0.19,0.195313,-0.472979,0.0062452,0.00294277
0.2,-0.0928606,-0.489894,-0.00108991,-0.00244141
0.21,0.194441,-0.472107,0.006267,0.00296456
0.22,-0.0919887,-0.490287,-0.00107901,-0.00241961
0.23,0.193569,-0.472804,0.00620161,0.00296456
0.24,-0.0950405,-0.489938,-0.00115531,-0.002485
0.25,0.190953,-0.471322,0.00610352,0.00287737
0.26,-0.0928606,-0.489589,-0.00106812,-0.00244141
0.27,0.195313,-0.473153,0.006267,0.00294277
0.28,-0.0919887,-0.490679,-0.00105722,-0.00239781
0.29,0.192697,-0.472848,0.00616891,0.00293187
0.3,-0.0954764,-0.490766,-0.00118801,-0.00245231
0.31,0.192261,-0.472761,0.00615801,0.00292097
0.32,-0.0911168,-0.490941,-0.00106812,-0.00237601
0.33,0.195313,-0.473022,0.0062888,0.00297546
0.34,-0.0937326,-0.491028,-0.00111171,-0.00241961
0.35,0.192261,-0.47263,0.00623431,0.00294277
0.36,-0.0941685,-0.490069,-0.00105722,-0.0024632
0.37,0.190953,-0.472804,0.00621251,0.00293187
0.38,-0.0963484,-0.489938,-0.00112261,-0.0024632
0.39,0.192697,-0.471191,0.00619071,0.00295367
0.4,-0.0924247,-0.489197,-0.00105722,-0.00236511
0.41,0.194005,-0.47263,0.006267,0.00299726
0.42,-0.0937326,-0.489938,-0.00110081,-0.00239781
0.43,0.191389,-0.472848,0.00619071,0.00294277
0.44,-0.0937326,-0.490766,-0.00113351,-0.0024632
0.45,0.193133,-0.473284,0.006267,0.00298636
0.46,-0.0924247,-0.491071,-0.00106812,-0.00239781
0.47,0.193569,-0.47263,0.0062452,0.00298636
0.48,-0.0941685,-0.490243,-0.00107901,-0.00245231
0.49,0.194441,-0.472892,0.0062561,0.00297546
0.5,-0.0911168,-0.491071,-0.00101362,-0.00240871
0.51,0.193569,-0.471976,0.00622341,0.00297546
0.52,-0.0941685,-0.491071,-0.00112261,-0.00243051
0.53,0.192697,-0.47263,0.00621251,0.00294277
0.54,-0.0919887,-0.491028,-0.00106812,-0.00239781
0.55,0.196184,-0.474156,0.0063324,0.00301906
0.56,-0.0911168,-0.491682,-0.00102452,-0.00238691
0.57,0.193133,-0.472543,0.0062452,0.00296456
0.58,-0.0932966,-0.491159,-0.00108991,-0.00241961
0.59,0.194441,-0.47324,0.00622341,0.00298636
0.6,-0.0919887,-0.491202,-0.00106812,-0.00239781
0.61,0.194877,-0.473764,0.0062452,0.00300816
0.62,-0.0924247,-0.491159,-0.00104632,-0.00236511
0.63,0.194877,-0.472281,0.0063215,0.00302996
0.64,-0.0928606,-0.490679,-0.00106812,-0.00238691
0.65,0.193133,-0.472761,0.00621251,0.00296456
0.66,-0.0959124,-0.490723,-0.00112261,-0.00239781
0.67,0.194005,-0.472325,0.0062779,0.00302996
0.68,-0.0915527,-0.490592,-0.00102452,-0.00239781
0.69,0.195313,-0.472456,0.0062997,0.00301906
0.7,-0.0963484,-0.490853,-0.00116621,-0.0024741
0.71,0.191825,-0.47324,0.00616891,0.00295367
0.72,-0.0950405,-0.490505,-0.00110081,-0.00239781
0.73,0.195313,-0.471933,0.0062888,0.00304086
0.74,-0.0941685,-0.489938,-0.00106812,-0.00235421
0.75,0.193133,-0.471933,0.006267,0.00304086
0.76,-0.0937326,-0.490156,-0.00112261,-0.00236511
0.77,0.194441,-0.472151,0.0062888,0.00301906
0.78,-0.0941685,-0.489066,-0.00111171,-0.00237601
0.79,0.193569,-0.472587,0.00623431,0.00299726
0.8,-0.0950405,-0.490635,-0.00113351,-0.00244141
0.81,0.192261,-0.472848,0.00620161,0.00295367
0.82,-0.0941685,-0.490548,-0.00107901,-0.00239781
0.83,0.192697,-0.473066,0.00623431,0.00299726
0.84,-0.0963484,-0.490592,-0.00113351,-0.00240871
0.85,0.192697,-0.473066,0.0062452,0.00297546
0.86,-0.0941685,-0.491333,-0.00112261,-0.00239781
0.87,0.193133,-0.472412,0.0062452,0.00301906
0.88,-0.0946045,-0.490941,-0.00114441,-0.00245231
0.89,0.191825,-0.472892,0.00619071,0.00298636
0.9,-0.0946045,-0.491377,-0.00108991,-0.00243051
0.91,0.193569,-0.472281,0.0062561,0.00300816
0.92,-0.0950405,-0.490679,-0.00104632,-0.00239781
0.93,0.192261,-0.472456,0.00621251,0.00297546
0.94,-0.0963484,-0.490287,-0.00111171,-0.00240871
0.95,0.194005,-0.472369,0.0062779,0.00300816
0.96,-0.0924247,-0.490156,-0.00103542,-0.00234331
0.97,0.195313,-0.472543,0.0063324,0.00304086
0.98,-0.0946045,-0.490461,-0.00107901,-0.00236511
0.99,0.192697,-0.472935,0.0062779,0.00299726
1,-0.0937326,-0.4902,-0.00108991,-0.00241961
1.01,0.194441,-0.471976,0.0063215,0.00302996
1.02,-0.0950405,-0.490287,-0.00104632,-0.00243051
1.03,0.193569,-0.472848,0.0063215,0.00298636
1.04,-0.0932966,-0.490679,-0.00104632,-0.00243051
1.05,0.194877,-0.472674,0.0062888,0.00300816
1.06,-0.0946045,-0.490505,-0.00107901,-0.00241961
1.07,0.191389,-0.472935,0.0062779,0.00295367
1.08,-0.0967843,-0.489371,-0.00112261,-0.00245231
1.09,0.193569,-0.471802,0.0063106,0.00300816
1.1,-0.0937326,-0.490635,-0.00104632,-0.00236511
1.11,0.194441,-0.472848,0.0063215,0.00305176
1.12,-0.0963484,-0.490635,-0.00106812,-0.00244141
1.13,0.192261,-0.471976,0.006267,0.00298636
1.14,-0.0950405,-0.489458,-0.00102452,-0.00240871
1.15,0.194005,-0.472325,0.0063106,0.00299726
1.16,-0.0946045,-0.489589,-0.00108991,-0.00240871
1.17,0.193133,-0.471453,0.0063106,0.00295367
1.18,-0.0959124,-0.4902,-0.00108991,-0.00240871
1.19,0.194441,-0.471758,0.0063433,0.00300816
1.2,-0.0937326,-0.489851,-0.00110081,-0.00241961
1.21,0.193569,-0.472717,0.0062997,0.00298636
1.22,-0.0946045,-0.489589,-0.00108991,-0.00238691
1.23,0.194005,-0.473371,0.0062888,0.00302996
1.24,-0.0932966,-0.491333,-0.00101362,-0.00238691
1.25,0.193133,-0.472325,0.00623431,0.00299726
1.26,-0.0946045,-0.490984,-0.00107901,-0.00241961
1.27,0.193569,-0.47311,0.0062888,0.00298636
1.28,-0.0928606,-0.490112,-0.00105722,-0.00239781
1.29,0.193569,-0.472238,0.0062997,0.00300816
1.3,-0.0941685,-0.490417,-0.00110081,-0.00243051
1.31,0.193569,-0.472499,0.0063106,0.00301906
1.32,-0.0924247,-0.489676,-0.00107901,-0.00237601
1.33,0.19662,-0.471453,0.0063324,0.00304086
1.34,-0.0941685,-0.48802,-0.00108991,-0.00243051
1.35,0.193569,-0.471409,0.0062779,0.00294277
1.36,-0.0932966,-0.490069,-0.00107901,-0.00243051
1.37,0.196184,-0.471366,0.0063324,0.00298636
1.38,-0.0928606,-0.489764,-0.00104632,-0.00239781
1.39,0.195313,-0.472369,0.0063215,0.00301906
1.4,-0.0937326,-0.489328,-0.00110081,-0.00244141
1.41,0.193569,-0.471671,0.0062888,0.00298636
1.42,-0.0937326,-0.490417,-0.00108991,-0.00240871
1.43,0.194005,-0.473415,0.0062779,0.00304086
1.44,-0.0932966,-0.490635,-0.00107901,-0.00240871
1.45,0.196184,-0.472761,0.0063324,0.00305176
1.46,-0.0919887,-0.490679,-0.00101362,-0.00238691
1.47,0.194441,-0.472761,0.0063215,0.00298636
1.48,-0.0946045,-0.490287,-0.00108991,-0.00241961
1.49,0.193569,-0.473153,0.0062779,0.00294277
1.5,-0.0937326,-0.490679,-0.00106812,-0.00241961
1.51,0.194877,-0.472543,0.0063542,0.00302996
1.52,-0.0919887,-0.490548,-0.00105722,-0.00243051
1.53,0.193133,-0.473153,0.0062561,0.00300816
1.54,-0.0959124,-0.490853,-0.00108991,-0.00239781
1.55,0.193133,-0.473633,0.0062452,0.00301906
1.56,-0.0941685,-0.490243,-0.00100272,-0.00239781
1.57,0.193133,-0.472935,0.0062561,0.00298636
1.58,-0.0950405,-0.490461,-0.00108991,-0.00243051
1.59,0.193133,-0.472499,0.0062561,0.00296456
1.6,-0.0941685,-0.490461,-0.00105722,-0.00238691
1.61,0.194441,-0.472674,0.0062997,0.00299726
1.62,-0.0932966,-0.49081,-0.00105722,-0.00238691
1.63,0.191825,-0.473546,0.006267,0.00299726
1.64,-0.0950405,-0.489589,-0.00112261,-0.00238691
1.65,0.192261,-0.472238,0.0062779,0.00299726
1.66,-0.0950405,-0.490505,-0.00104632,-0.00240871
1.67,0.191389,-0.471802,0.0062452,0.00297546
1.68,-0.0954764,-0.4902,-0.00108991,-0.00243051
1.69,0.191825,-0.472717,0.00622341,0.00297546
1.7,-0.0946045,-0.489589,-0.00110081,-0.00243051
1.71,0.192697,-0.471933,0.0062452,0.00294277
1.72,-0.0954764,-0.490723,-0.00111171,-0.0024632
1.73,0.192261,-0.47311,0.006267,0.00297546
1.74,-0.0941685,-0.490723,-0.00105722,-0.00239781
1.75,0.193569,-0.472717,0.0063106,0.00301906
1.76,-0.0946045,-0.4902,-0.00112261,-0.00239781
1.77,0.190953,-0.473589,0.00622341,0.00296456
1.78,-0.0946045,-0.491769,-0.00108991,-0.00243051
1.79,0.193569,-0.472325,0.0063106,0.00298636
1.8,-0.0937326,-0.489851,-0.00106812,-0.00239781
1.81,0.191825,-0.47311,0.006267,0.00296456
1.82,-0.0959124,-0.490417,-0.00110081,-0.00244141
1.83,0.193133,-0.47202,0.0063106,0.00295367
1.84,-0.0932966,-0.490635,-0.00107901,-0.00241961
1.85,0.194441,-0.472892,0.0062561,0.00296456
1.86,-0.0946045,-0.490766,-0.00112261,-0.00241961
1.87,0.192697,-0.471497,0.0062452,0.00296456
1.88,-0.0932966,-0.490417,-0.00106812,-0.00240871
1.89,0.194441,-0.471366,0.0062997,0.00299726
1.9,-0.0941685,-0.490505,-0.00102452,-0.00237601
1.91,0.191825,-0.472674,0.00622341,0.00296456
1.92,-0.0963484,-0.489851,-0.00111171,-0.00244141
1.93,0.192697,-0.471366,0.00623431,0.00297546
1.94,-0.0941685,-0.490505,-0.00110081,-0.00240871
1.95,0.193133,-0.471802,0.0063215,0.00297546
1.96,-0.0946045,-0.490417,-0.00107901,-0.00240871
1.97,0.193133,-0.471845,0.0063215,0.00300816
1.98,-0.0932966,-0.490243,-0.00110081,-0.00235421
1.99,0.192261,-0.472543,0.0062452,0.00295367
2,-0.0959124,-0.489371,-0.00108991,-0.00243051
2.01,0.192697,-0.472325,0.0062888,0.00298636
2.02,-0.0937326,-0.491377,-0.00101362,-0.00239781
2.03,0.194441,-0.472151,0.0062997,0.00299726
2.04,-0.0932966,-0.490941,-0.00106812,-0.00244141
2.05,0.192261,-0.47372,0.0062452,0.00292097
2.06,-0.0959124,-0.490723,-0.00112261,-0.00239781
2.07,0.193133,-0.472369,0.0062888,0.00300816
2.08,-0.0928606,-0.491071,-0.00106812,-0.00236511
2.09,0.191825,-0.473022,0.0062561,0.00300816
2.1,-0.0937326,-0.489894,-0.00106812,-0.00239781
2.11,0.191389,-0.472499,0.0062779,0.00296456
2.12,-0.0937326,-0.488979,-0.00102452,-0.00237601
2.13,0.191825,-0.472281,0.0062997,0.00295367
2.14,-0.0959124,-0.490112,-0.00108991,-0.00240871
2.15,0.191825,-0.471497,0.006267,0.00296456
2.16,-0.0924247,-0.489938,-0.00104632,-0.00239781
2.17,0.191389,-0.471976,0.006267,0.00293187
2.18,-0.0950405,-0.490461,-0.00107901,-0.00241961
2.19,0.190953,-0.472063,0.006267,0.00295367
2.2,-0.0941685,-0.489458,-0.00103542,-0.00240871
2.21,0.190953,-0.471976,0.00623431,0.00297546
2.22,-0.0937326,-0.489938,-0.00102452,-0.00240871
2.23,0.190517,-0.471627,0.00622341,0.00293187
2.24,-0.0928606,-0.489807,-0.00103542,-0.00237601
2.25,0.193133,-0.470886,0.0062561,0.00295367
2.26,-0.0928606,-0.489894,-0.00101362,-0.00236511
2.27,0.188773,-0.473284,0.0062561,0.00293187
2.28,-0.0954764,-0.490287,-0.00105722,-0.00240871
2.29,0.189645,-0.473938,0.0062561,0.00294277
2.3,-0.0937326,-0.490112,-0.00104632,-0.00236511
2.31,0.190953,-0.472674,0.0062779,0.00299726
2.32,-0.0937326,-0.491115,-0.00100272,-0.00236511
2.33,0.190517,-0.472412,0.006267,0.00293187
2.34,-0.0932966,-0.48924,-0.00103542,-0.00239781
2.35,0.190953,-0.471497,0.006267,0.00296456
2.36,-0.0946045,-0.4902,-0.00104632,-0.00235421
2.37,0.190517,-0.472238,0.0062779,0.00292097
2.38,-0.0932966,-0.48924,-0.00101362,-0.00239781
2.39,0.190953,-0.472281,0.0063215,0.00296456
2.4,-0.0932966,-0.490287,-0.00101362,-0.00238691
2.41,0.188773,-0.472412,0.00623431,0.00291007
2.42,-0.0937326,-0.489982,-0.00104632,-0.00238691
2.43,0.188337,-0.472325,0.0062452,0.00294277
2.44,-0.0941685,-0.490287,-0.00100272,-0.00240871
2.45,0.189209,-0.473589,0.0062561,0.00291007
