DynoWare,Version 3.2.2.0
Path:,D:\Parn (paper ML Weld)\Post welding\
Filename:,Sample 7.dwd
Config ID:,Sample 7.cfg
Setup ID:,0
Manipulated:,0
Filename 1:, 
Filename 2:, 
Date:,Wednesday, January 01, 2025
Time:,18:02:56
Sampling rate [Hz]:,100
Measuring time [s]:,180
Delay time [s]:,0
Cycle time [s]:,0
Cycles:,1
Samples per channel:,18001
Cycle interval:,0
Cycle No:,1
Time,Mz,Fz,Fy,Fx
s,N,kN,kN,kN
0,0.291225,-0.232326,0.0162397,0.00613621
0.01,0.0462123,-0.247585,0.0101362,0.00156948
0.02,0.285993,-0.23189,0.0162397,0.00601632
0.03,0.0457764,-0.247541,0.0101362,0.00153678
0.04,0.286429,-0.23189,0.0161961,0.00603812
0.05,0.0497001,-0.245579,0.0101471,0.00160217
0.06,0.281634,-0.231454,0.016316,0.00597273
0.07,0.0453404,-0.24741,0.0100817,0.00156948
0.08,0.285993,-0.230626,0.0162942,0.00607082
0.09,0.0479562,-0.24632,0.0100817,0.00163487
0.1,0.281634,-0.231585,0.0163378,0.00598363
0.11,0.0440325,-0.246451,0.0101035,0.00152588
0.12,0.285993,-0.232152,0.0162724,0.00604902
0.13,0.050572,-0.247105,0.0101144,0.00163487
0.14,0.285993,-0.232021,0.0162724,0.00608172
0.15,0.0453404,-0.246887,0.0100926,0.00160217
0.16,0.288173,-0.231672,0.0162942,0.00609262
0.17,0.0479562,-0.247192,0.0101253,0.00156948
0.18,0.289917,-0.230931,0.0163923,0.00608172
0.19,0.0427246,-0.247018,0.010049,0.00151498
0.2,0.287301,-0.231062,0.016316,0.00608172
0.21,0.0444685,-0.246713,0.0100599,0.00156948
0.22,0.289917,-0.231759,0.0163269,0.00609262
0.23,0.0449044,-0.247367,0.0101144,0.00150408
0.24,0.290789,-0.232544,0.0163487,0.00603812
0.25,0.0453404,-0.24789,0.0101035,0.00154768
0.26,0.289917,-0.231716,0.0163378,0.00612531
0.27,0.0431606,-0.247498,0.0100817,0.00155858
0.28,0.287301,-0.232195,0.0163051,0.00611441
0.29,0.0462123,-0.247628,0.010049,0.00158037
0.3,0.292969,-0.233024,0.0163596,0.00612531
0.31,0.0462123,-0.247192,0.0100926,0.00153678
0.32,0.286429,-0.233198,0.0163051,0.00605992
0.33,0.0431606,-0.247716,0.0100054,0.00153678
0.34,0.288173,-0.232152,0.016316,0.00611441
0.35,0.0470843,-0.247367,0.0101144,0.00160217
0.36,0.285121,-0.232544,0.0162942,0.00605992
0.37,0.0435965,-0.247846,0.0100272,0.00153678
0.38,0.288173,-0.232195,0.0163269,0.00604902
0.39,0.0466483,-0.246538,0.0100926,0.00158037
0.4,0.285557,-0.231541,0.0163923,0.00607082
0.41,0.0431606,-0.246844,0.00999451,0.00155858
0.42,0.289045,-0.232544,0.016316,0.00612531
0.43,0.0488281,-0.247367,0.0100599,0.00155858
0.44,0.287737,-0.23189,0.0163923,0.00604902
0.45,0.0427246,-0.248762,0.0100381,0.00153678
0.46,0.288173,-0.232282,0.0163487,0.00611441
0.47,0.0444685,-0.248326,0.0100926,0.00153678
0.48,0.289917,-0.232195,0.016425,0.00614711
0.49,0.0396729,-0.247498,0.0100599,0.00151498
0.5,0.288173,-0.232326,0.0164032,0.00611441
0.51,0.0427246,-0.248936,0.0100708,0.00151498
0.52,0.291661,-0.233198,0.0164468,0.00615801
0.53,0.0401088,-0.24728,0.0100926,0.00144958
0.54,0.289045,-0.232631,0.0163814,0.00614711
0.55,0.0409807,-0.247236,0.0100381,0.00152588
0.56,0.290789,-0.2325,0.0163378,0.00619071
0.57,0.0388009,-0.247846,0.0101144,0.00150408
0.58,0.288609,-0.232195,0.0163814,0.00611441
0.59,0.0414167,-0.249023,0.010049,0.00152588
0.6,0.289481,-0.233634,0.0164032,0.00612531
0.61,0.0414167,-0.249198,0.0100708,0.00151498
0.62,0.286429,-0.232718,0.0163596,0.00611441
0.63,0.0409807,-0.247716,0.0100599,0.00151498
0.64,0.287737,-0.23189,0.0163814,0.00613621
0.65,0.0431606,-0.248457,0.0100381,0.00150408
0.66,0.285993,-0.232152,0.0164359,0.00604902
0.67,0.0405448,-0.248413,0.0100599,0.00154768
0.68,0.288609,-0.232282,0.0163923,0.00616891
0.69,0.0431606,-0.248195,0.010049,0.00158037
0.7,0.287301,-0.232806,0.0164032,0.00607082
0.71,0.0422886,-0.248326,0.0100272,0.00151498
0.72,0.290353,-0.232282,0.0164141,0.00612531
0.73,0.0449044,-0.248195,0.010049,0.00153678
0.74,0.288173,-0.231977,0.016425,0.00612531
0.75,0.0396729,-0.247672,0.00999451,0.00150408
0.76,0.289045,-0.231846,0.0163923,0.00616891
0.77,0.0418527,-0.249765,0.0100381,0.00151498
0.78,0.291225,-0.232588,0.0164141,0.00614711
0.79,0.0388009,-0.248326,0.0100054,0.00144958
0.8,0.290353,-0.233503,0.0163596,0.00615801
0.81,0.0418527,-0.248021,0.0100054,0.00152588
0.82,0.293405,-0.233111,0.0164141,0.00620161
0.83,0.0392369,-0.249677,0.00999451,0.00148228
0.84,0.291225,-0.234157,0.0164141,0.00617981
0.85,0.0409807,-0.249547,0.00998361,0.00149318
0.86,0.294713,-0.234549,0.0163923,0.00621251
0.87,0.0392369,-0.249198,0.0100163,0.00144958
0.88,0.291661,-0.232893,0.0163814,0.00617981
0.89,0.0409807,-0.24898,0.0100054,0.00150408
0.9,0.292969,-0.23298,0.0163923,0.00616891
0.91,0.0418527,-0.247934,0.0100272,0.00147138
0.92,0.290353,-0.233198,0.0164468,0.00612531
0.93,0.0418527,-0.248021,0.00998361,0.00147138
0.94,0.291661,-0.232718,0.0164577,0.00619071
0.95,0.0427246,-0.247628,0.00998361,0.00154768
0.96,0.289045,-0.232675,0.016425,0.00612531
0.97,0.0418527,-0.247585,0.00998361,0.00147138
